INFO  - 2013-09-13 03:21:21.844; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035281841&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:23.855; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035283852&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:25.865; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035285862&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:27.876; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035287873&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:29.887; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035289884&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:31.898; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035291895&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:33.910; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035293908&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:35.923; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035295920&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:37.935; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035297932&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:39.948; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035299945&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:41.960; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035301957&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:43.971; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035303968&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:45.981; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035305978&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:47.992; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035307989&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:50.003; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035310000&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:52.015; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035312012&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:54.026; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035314023&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:56.039; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035316036&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:58.049; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035318046&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:00.060; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035320057&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:02.070; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035322067&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:04.081; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035324078&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:06.090; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035326087&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:08.100; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035328097&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:10.111; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035330108&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:12.122; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035332119&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:14.132; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035334130&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:16.143; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035336140&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:22:18.153; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035338150&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:20.164; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035340161&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:22.174; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035342172&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:24.184; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035344182&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:22:26.194; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035346191&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:22:28.202; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035348199&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:22:30.212; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035350209&wt=json} status=0 QTime=0 
